,Product Name,Price,Actual Price,Discount,Description,Rating,Product Link
10,"OnePlus Nord CE5 5G (Nexus Blue, 128 GB)","₹33,999","₹35,999",5% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-nexus-blue-128-gb/p/itm9259708fe4e3c?pid=MOBHEYWZJTSYPHBM&lid=LSTMOBHEYWZJTSYPHBMX89BO8&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZJTSYPHBM.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
11,"OnePlus Nord CE6 Lite (Vivid Mint, 128 GB)","₹25,235","₹31,999",21% off,"['6 GB RAM | 128 GB ROM | Expandable Upto 128 GB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'Mediatek Dimensity 7400 Processor', 'one year of handset six month of accessories']",4.3,https://www.flipkart.com/oneplus-nord-ce6-lite-vivid-mint-128-gb/p/itm21e965b5b799d?pid=MOBHN8CVXZNTVTKZ&lid=LSTMOBHN8CVXZNTVTKZSXQHGN&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHN8CVXZNTVTKZ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
12,"OnePlus Nord CE5 5G (Black Infinity, 128 GB)","₹34,000","₹35,999",5% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-black-infinity-128-gb/p/itm9259708fe4e3c?pid=MOBHEYWZAGYMPFRP&lid=LSTMOBHEYWZAGYMPFRPZP6QUV&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZAGYMPFRP.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
13,"OnePlus Nord CE5 5G (Black Infinity, 256 GB)","₹23,267","₹28,999",19% off,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-black-infinity-256-gb/p/itm9259708fe4e3c?pid=MOBHEYX8MMCCGG65&lid=LSTMOBHEYX8MMCCGG65DX9IKP&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYX8MMCCGG65.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
14,"OnePlus Nord CE5 5G (Black Infinity, 256 GB)","₹36,000","₹37,499",3% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-black-infinity-256-gb/p/itm9259708fe4e3c?pid=MOBHEYWZGJFEJYUY&lid=LSTMOBHEYWZGJFEJYUYXG2VCQ&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZGJFEJYUY.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
15,"OnePlus Nord CE5 5G (Marble Mist, 128 GB)","₹34,000","₹34,999",2% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-marble-mist-128-gb/p/itm9259708fe4e3c?pid=MOBHEYWZZHXGHF9E&lid=LSTMOBHEYWZZHXGHF9EWHBSCL&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZZHXGHF9E.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
16,"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)","₹37,000","₹37,499",1% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-nexus-blue-256-gb/p/itm9259708fe4e3c?pid=MOBHEYWZAADTSTYZ&lid=LSTMOBHEYWZAADTSTYZS6VHEE&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZAADTSTYZ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
17,"OnePlus Nord CE6 (Lunar Pearl, 256 GB)","₹37,939","₹43,999",13% off,"['8 GB RAM | 256 GB ROM | Expandable Upto 256 GB', '17.22 cm (6.78 inch) Full HD+ Display', '50MP Rear Camera | 2MP Front Camera', '8000 mAh Battery', 'Qualcomm® Snapdragon™ 7s Gen 4 Processor', 'one year of handset six month of accessories']",4.5,https://www.flipkart.com/oneplus-nord-ce6-lunar-pearl-256-gb/p/itmd7b224b18cb05?pid=MOBHN8CDHYCYJFMQ&lid=LSTMOBHN8CDHYCYJFMQ8JIKIC&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHN8CDHYCYJFMQ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
18,SPAREWARE ONEPLUS Oneplus Nord CE 3 -Black (MIDDLE RING + BACK PANEL) Back Panel,No Price Found,No Actual Price,No Discount,"['Back Panel', 'Color: Black', 'NA']",No Rating,https://www.flipkart.com/spareware-oneplus-nord-ce-3-black-middle-ring-back-panel-panel/p/itmbb07e958f04af?pid=MBPH9ZF2WTCCAFYV&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MBPH9ZF2WTCCAFYV.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
19,"OnePlus Nord CE6 (Fresh Blue, 128 GB)","₹35,340","₹40,999",13% off,"['8 GB RAM | 128 GB ROM | Expandable Upto 128 GB', '17.22 cm (6.78 inch) Full HD+ Display', '50MP Rear Camera | 2MP Front Camera', '8000 mAh Battery', 'Qualcomm® Snapdragon™ 7s Gen 4 Processor', 'one year of handset six month of accessories']",4.5,https://www.flipkart.com/oneplus-nord-ce6-fresh-blue-128-gb/p/itmd7b224b18cb05?pid=MOBHNBDGGHYAE6ZP&lid=LSTMOBHNBDGGHYAE6ZPJP8VMM&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHNBDGGHYAE6ZP.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
20,"OnePlus Nord CE6 Lite (Vivid Mint, 256 GB)","₹32,875","₹36,999",11% off,"['8 GB RAM | 256 GB ROM | Expandable Upto 256 GB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP Rear Camera | 8MP Front Camera', '7000 mAh Battery', 'MediaTek Dimensity 7400 Apex Processor', 'one year of handset six month of accessories']",4.3,https://www.flipkart.com/oneplus-nord-ce6-lite-vivid-mint-256-gb/p/itm21e965b5b799d?pid=MOBHN8AB2JFD45AG&lid=LSTMOBHN8AB2JFD45AGCMOKWO&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHN8AB2JFD45AG.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
21,"OnePlus Nord CE5 5G (Marble Mist, 256 GB)","₹26,399","₹26,999",2% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-marble-mist-256-gb/p/itm9259708fe4e3c?pid=MOBHEYWZXBFXUBZZ&lid=LSTMOBHEYWZXBFXUBZZQVC0SG&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHEYWZXBFXUBZZ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
22,"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)","₹25,898","₹25,999",No Discount,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-nexus-blue-256-gb/p/itm9259708fe4e3c?pid=MOBHE23NSAHBA5FK&lid=LSTMOBHE23NSAHBA5FKFS9F8L&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHE23NSAHBA5FK.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
23,"OnePlus Nord CE5 5G (Marble Mist, 256 GB)","₹26,500","₹26,999",1% off,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '7100 mAh Battery', '1 Year Warranty']",4.5,https://www.flipkart.com/oneplus-nord-ce5-5g-marble-mist-256-gb/p/itm9259708fe4e3c?pid=MOBHE23NDP6XQN7U&lid=LSTMOBHE23NDP6XQN7UDKVMDA&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHE23NDP6XQN7U.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
24,"OnePlus Nord CE6 (Lunar Pearl, 128 GB)","₹35,845","₹40,999",12% off,"['8 GB RAM | 128 GB ROM | Expandable Upto 128 GB', '17.22 cm (6.78 inch) Full HD+ Display', '50MP Rear Camera | 2MP Front Camera', '8000 mAh Battery', 'Qualcomm® Snapdragon™ 7s Gen 4 Processor', 'one year of handset six month of accessories']",4.5,https://www.flipkart.com/oneplus-nord-ce6-lunar-pearl-128-gb/p/itmd7b224b18cb05?pid=MOBHN82GBZSGMDE4&lid=LSTMOBHN82GBZSGMDE4BIPBNB&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBHN82GBZSGMDE4.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
25,"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹19,250","₹33,999",43% off,"['8 GB RAM | 128 GB ROM', '17.12 cm (6.74 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months for In-Box Accessories']",4.3,https://www.flipkart.com/oneplus-nord-3-5g-misty-green-128-gb/p/itm5fc87afce35dc?pid=MOBGRKA2GBGGS6QZ&lid=LSTMOBGRKA2GBGGS6QZLCG4WV&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGRKA2GBGGS6QZ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
26,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
27,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
28,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
29,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
